Gene	withingroup.factor	acrossgroup.factor	rescale.factor
5S_rRNA	1	1	1
7SK	1	1	1
A1BG	2.348	2.946	2.946
A1BG-AS1	1	1.004	1.004
A1CF	1	1	1
A2M	1	1	1
A2M-AS1	1	1	1
A2ML1	1	1	1
A2ML1-AS1	1	1	1
A2ML1-AS2	1	1	1
A2MP1	1	1	1
A3GALT2	1	1	1
A4GALT	1	1.291	1.291
A4GNT	1	1	1
AAAS	1.967	2.656	2.656
AACS	1.003	1.352	1.352
AACSP1	1	1	1
AADAC	1	1	1
AADACL2	1	1	1
AADACL3	1	1	1
AADACL4	1	1	1
AADAT	1.134	1.275	1.275
AAED1	2.692	1.288	2.692
AAGAB	1.103	3.379	3.379
AAK1	1.136	2.161	2.161
AAMDC	1.88	2.638	2.638
AAMP	3.822	2.878	3.822
AANAT	1	1	1
AAR2	1.175	1.49	1.49
AARD	1	1	1
AARS	2.078	5.734	5.734
AARS2	1.146	1.066	1.146
AARSD1	1	1.086	1.086
AASDH	1	2.064	2.064
AASDHPPT	1.504	1.959	1.959
AASS	1.064	1.034	1.064
AATF	5.437	17.03	17.03
AATK	1	1.054	1.054
AATK-AS1	1	1	1
AB015752.3	1	1	1
AB019440.1	1	1	1
AB019440.50	1	1	1
ABAT	1.01	1	1.01
ABCA1	1.084	1	1.084
ABCA10	1	1	1
ABCA11P	1.114	1	1.114
ABCA12	1	1	1
ABCA13	1	1	1
ABCA17P	1	1	1
ABCA2	1.255	1.261	1.261
ABCA3	1	1.068	1.068
ABCA4	1	1	1
ABCA5	1.16	1	1.16
ABCA6	1	1	1
ABCA7	1	1.573	1.573
ABCA8	1	1	1
ABCA9	1	1	1
ABCA9-AS1	1	1	1
ABCB1	1.199	1	1.199
ABCB10	1.538	1.52	1.538
ABCB11	1	1	1
ABCB4	1	1	1
ABCB5	1	1	1
ABCB6	1	1	1
ABCB7	1.466	1.585	1.585
ABCB8	1	1	1
ABCB9	1.01	1.444	1.444
ABCC1	1.737	1.028	1.737
ABCC10	1	1	1
ABCC11	1	1	1
ABCC12	1	1	1
ABCC13	1	1	1
ABCC2	1	1	1
ABCC3	1	1	1
ABCC4	1.131	1.128	1.131
ABCC5	1.092	1.305	1.305
ABCC5-AS1	1	1	1
ABCC6	1.112	1	1.112
ABCC6P1	1	1	1
ABCC8	1	1.169	1.169
ABCC9	1	1	1
ABCD1	1	1	1
ABCD2	1	1	1
ABCD3	2.826	1	2.826
ABCD4	1.056	5.997	5.997
ABCE1	2.364	3.732	3.732
ABCF1	1.34	3.629	3.629
ABCF2	1	2.692	2.692
ABCF3	1	1.426	1.426
ABCG1	1	1	1
ABCG2	1	1	1
ABCG4	1	1	1
ABCG5	1	1	1
ABCG8	1	1	1
ABHD1	1	1	1
ABHD10	1	1.337	1.337
ABHD11	1.118	1.608	1.608
ABHD12	1.768	2.031	2.031
ABHD12B	1	1	1
ABHD13	1.103	1.872	1.872
ABHD14A	1.048	1.621	1.621
ABHD14A-ACY1	1	1.004	1.004
ABHD14B	2.108	7.343	7.343
ABHD15	1	1.172	1.172
ABHD16A	1	1.766	1.766
ABHD16B	1	1	1
ABHD17A	1.145	1.234	1.234
ABHD17B	1.177	2.295	2.295
ABHD17C	2.132	1.907	2.132
ABHD2	1	1.985	1.985
ABHD3	2.355	4.993	4.993
ABHD4	1.128	1.719	1.719
ABHD5	1	1.017	1.017
ABHD6	1.208	1.316	1.316
ABHD8	1	1.08	1.08
ABI1	1.627	2.289	2.289
ABI2	1.331	1.084	1.331
ABI3	1	1	1
ABI3BP	1	1	1
ABL1	1.501	1.029	1.501
ABL2	1	1.526	1.526
ABLIM1	1.364	3.216	3.216
ABLIM2	1	1	1
ABLIM3	1	1	1
ABO	1	1	1
ABR	1.156	1.217	1.217
ABRA	1	1	1
ABRACL	1.193	1.85	1.85
ABT1	2.118	1.863	2.118
ABTB1	1	1.006	1.006
ABTB2	1.134	1.229	1.229
AC000003.1	1	1	1
AC000003.2	1	1	1
AC000029.1	1	1	1
AC000032.2	1	1	1
AC000036.4	1	1	1
AC000067.1	1	1	1
AC000068.10	1	1	1
AC000068.5	1.144	1.003	1.144
AC000068.9	1.206	1.636	1.636
AC000099.1	1	1	1
AC000111.3	1	1	1
AC000111.6	1	1	1
AC000120.7	1.186	1.405	1.405
AC000123.4	1	1	1
AC000124.1	1	1	1
AC000370.2	1	1	1
AC000403.1	1	1	1
AC002044.4	1.013	1.913	1.913
AC002055.4	1	1	1
AC002056.5	1	1	1
AC002059.10	1	1	1
AC002064.4	1	1	1
AC002064.5	1	1	1
AC002066.1	1	1	1
AC002066.2	1	1	1
AC002070.1	1	1	1
AC002076.10	1	1	1
AC002115.5	1	1	1
AC002115.9	1	1	1
AC002116.7	1	1	1
AC002116.8	1	1	1
AC002117.1	1	1	1
AC002127.4	1	1	1
AC002128.5	1	1	1
AC002306.1	1	1	1
AC002310.12	1	1.006	1.006
AC002310.13	1	1	1
AC002310.7	1	1	1
AC002321.1	1	1	1
AC002321.2	1	1	1
AC002331.1	1	1	1
AC002365.1	1	1	1
AC002368.4	1	1	1
AC002383.2	1	1	1
AC002386.1	1	1	1
AC002395.1	1	1	1
AC002398.11	1	1	1
AC002398.12	1	1	1
AC002398.13	1	1	1
AC002398.5	1	1	1
AC002398.9	1	1.22	1.22
AC002401.1	1	1	1
AC002429.5	1	1	1
AC002451.1	1	1	1
AC002451.3	1	1	1
AC002454.1	1	1	1
AC002456.2	1	1	1
AC002463.3	1	1	1
AC002465.2	1	1	1
AC002467.7	1	1	1
AC002472.1	1	1	1
AC002472.11	1	1	1
AC002472.13	1	1	1
AC002477.1	1	1	1
AC002480.2	1	1	1
AC002480.3	1	1	1
AC002480.4	1	1	1
AC002480.5	1	1	1
AC002485.1	1	1	1
AC002511.1	1	1	1
AC002511.2	1	1	1
AC002511.3	1	1	1
AC002519.6	1	1	1
AC002519.8	1	1	1
AC002539.1	1	1	1
AC002539.2	1	1	1
AC002550.5	1	1	1
AC002551.1	1	1	1
AC002553.1	1	1	1
AC002558.1	1	1	1
AC002978.1	1	1	1
AC002979.1	1	1	1
AC002981.1	1	1	1
AC002985.3	1	1	1
AC002992.1	1	1	1
AC003001.1	1	1	1
AC003002.4	1	1	1
AC003002.6	1	1	1
AC003003.5	1	1	1
AC003005.2	1	1	1
AC003005.4	1	1	1
AC003006.1	1	1	1
AC003006.7	1	1	1
AC003009.1	1	1	1
AC003035.1	1	1	1
AC003043.1	1	1	1
AC003051.1	1	1	1
AC003070.1	1	1	1
AC003075.4	1	1	1
AC003084.2	1	1	1
AC003088.1	1	1	1
AC003090.1	1	1	1
AC003092.1	1	1	1
AC003092.2	1	1	1
AC003101.1	1	1	1
AC003102.1	1	1	1
AC003102.3	1	1.172	1.172
AC003104.1	1	1	1
AC003658.1	1	1	1
AC003664.1	1	1	1
AC003665.1	1	1	1
AC003666.1	1	1	1
AC003681.1	1	1	1
AC003682.16	1	1	1
AC003956.1	1	1	1
AC003958.2	1	1	1
AC003968.1	1	1	1
AC003973.4	1	1	1
AC003973.5	1	1	1
AC003984.1	1	1	1
AC003985.1	1	1	1
AC003986.5	1	1	1
AC003986.6	1	1	1
AC003986.7	1	1	1
AC003988.1	1	1	1
AC003991.3	1	1	1
AC004000.1	1	1	1
AC004009.3	1	1	1
AC004012.1	1	1	1
AC004014.3	1	1	1
AC004016.1	1	1	1
AC004017.1	1	1	1
AC004019.13	1	1	1
AC004019.18	1	1.375	1.375
AC004041.2	1	1	1
AC004051.2	1	1	1
AC004052.1	1	1	1
AC004053.1	1	1	1
AC004054.1	1	1	1
AC004057.1	1	1	1
AC004063.1	1	1	1
AC004066.3	1	1	1
AC004067.5	1.17	1.009	1.17
AC004069.2	1	1.033	1.033
AC004070.1	1	1	1
AC004076.7	1	1	1
AC004076.9	1	1	1
AC004079.1	1	1	1
AC004112.4	1	1	1
AC004125.3	1	1	1
AC004156.3	1	1	1
AC004158.2	1	1	1
AC004158.3	1	1	1
AC004160.4	1	1	1
AC004221.2	1.166	1.363	1.363
AC004231.2	1	1	1
AC004237.1	1	1	1
AC004257.1	1	1	1
AC004257.3	1.1	1	1.1
AC004381.6	1	1.097	1.097
AC004381.7	1	1	1
AC004410.3	1	1	1
AC004447.2	1	1	1
AC004448.2	1	1	1
AC004448.5	1	1	1
AC004449.6	1	1	1
AC004458.1	1	1	1
AC004460.1	1	1	1
AC004463.6	1	1.315	1.315
AC004466.1	1.167	1	1.167
AC004471.10	1	1	1
AC004471.9	1	1	1
AC004485.3	1	1	1
AC004490.1	1	1	1
AC004492.1	1	1	1
AC004510.3	1	1	1
AC004520.1	1	1	1
AC004528.1	1	1	1
AC004528.4	1	1	1
AC004535.2	1	1	1
AC004538.3	1	1	1
AC004540.4	1	1	1
AC004540.5	1	1	1
AC004543.1	1	1	1
AC004543.2	1	1	1
AC004549.6	1	1	1
AC004552.1	1	1	1
AC004562.1	1	1	1
AC004593.3	1	1	1
AC004595.1	1	1	1
AC004603.4	1	1	1
AC004623.2	1	1	1
AC004637.1	1	1	1
AC004655.1	1	1	1
AC004656.1	1	1	1
AC004673.1	1	1	1
AC004691.5	1	1	1
AC004692.4	1	1	1
AC004699.1	1	1	1
AC004702.2	1	1	1
AC004744.3	1	1	1
AC004745.1	1	1	1
AC004769.1	1	1	1
AC004775.5	1	1	1
AC004791.2	1	1	1
AC004812.1	1	1	1
AC004817.1	1	1	1
AC004824.1	1	1	1
AC004824.2	1	1	1
AC004837.4	1	1	1
AC004837.5	1	1	1
AC004840.8	1	1	1
AC004840.9	1	1	1
AC004851.1	1	1	1
AC004854.4	1.007	1.01	1.01
AC004862.6	1	1	1
AC004869.2	1	1	1
AC004869.3	1	1	1
AC004870.3	1	1	1
AC004870.4	1	1	1
AC004875.1	1	1	1
AC004878.2	1	1	1
AC004878.7	1	1	1
AC004878.8	1	1	1
AC004893.11	1	1	1
AC004895.1	1	1	1
AC004895.4	1	1	1
AC004899.1	1	1	1
AC004901.1	1	1	1
AC004906.3	1	1	1
AC004920.3	1	1	1
AC004924.1	1	1	1
AC004941.3	1	1	1
AC004943.1	1	1	1
AC004947.2	1	1	1
AC004951.6	1	1	1
AC004969.1	1	1	1
AC004980.1	1	1	1
AC004980.7	1	1	1
AC004988.1	1	1	1
AC005000.2	1	1	1
AC005003.1	1	2.578	2.578
AC005008.2	1	1	1
AC005009.1	1	1	1
AC005009.2	1	1	1
AC005013.5	1	1	1
AC005019.3	1	1	1
AC005020.1	1	1	1
AC005022.1	1	1	1
AC005027.3	1	1	1
AC005029.1	1	1	1
AC005037.2	1	1	1
AC005037.3	1	1	1
AC005041.17	1	1	1
AC005042.4	1	1	1
